NORD EST,EMILIA ROMAGNA,BOLOGNA,BOIC80600N,I.C. DI PIEVE DI CENTO,BOEE80601Q,EDMONDO DE AMICIS CAPOLUOGO,VIA J.F. KENNEDY 30,40066,G643,PIEVE DI CENTO,NORMALE,SCUOLA PRIMARIA,370480373,NO,NO,SI,SI,Non richiesto,NO,SI,SI,21,4
NORD EST,EMILIA ROMAGNA,BOLOGNA,BOIC80600N,I.C. DI PIEVE DI CENTO,BOEE80602R,CASTELLO D'ARGILE,VIA CIRCONVALLAZIONE OVEST 1,40050,C185,CASTELLO D'ARGILE,NORMALE,SCUOLA PRIMARIA,370170273,NO,NO,Non richiesto,SI,Non richiesto,NO,SI,SI,21,4
NORD EST,EMILIA ROMAGNA,BOLOGNA,BOIC80600N,I.C. DI PIEVE DI CENTO,BOEE80604V,"""PACE LIBERA TUTTI""",VIA PRIMARIA 38,40050,C185,CASTELLO D'ARGILE,NORMALE,SCUOLA PRIMARIA,370170274,NO,NO,Non richiesto,SI,Non richiesto,NO,SI,SI,21,4
NORD EST,EMILIA ROMAGNA,BOLOGNA,BOIC80700D,I.C. DI MONTE SAN PIETRO,BOEE80701G,MONTE S.PIETRO CAPOLUOGO,VIA IV NOVEMBRE 2,40050,F627,MONTE SAN PIETRO,NORMALE,SCUOLA PRIMARIA,370420259,NO,NO,NO,SI,Non richiesto,Non richiesto,SI,SI,21,6
NORD EST,EMILIA ROMAGNA,BOLOGNA,BOIC80700D,I.C. DI MONTE SAN PIETRO,BOEE80702L,LORIS CASARINI,VIA LAVINO 317/2,40050,F627,MONTE SAN PIETRO,NORMALE,SCUOLA PRIMARIA,370420757,NO,SI,NO,SI,Non richiesto,Non richiesto,NO,NO,21,6
NORD EST,EMILIA ROMAGNA,BOLOGNA,BOIC808009,I.C. N.1 VIA DE CAROLIS,BOEE80801B,GIOVANNI XXIII,VIA LEONARDO DA VINCI 3,40133,A944,BOLOGNA,NORMALE,SCUOLA PRIMARIA,370060798,NO,SI,Non richiesto,SI,Non richiesto,NO,SI,SI,21,6
NORD EST,EMILIA ROMAGNA,BOLOGNA,BOIC808009,I.C. N.1 VIA DE CAROLIS,BOEE80802C,MORANDI,VIA DEL BECCACCINO 25,40133,A944,BOLOGNA,NORMALE,SCUOLA PRIMARIA,370060123,NO,NO,Non richiesto,SI,Non richiesto,Non richiesto,SI,SI,21,6
NORD EST,EMILIA ROMAGNA,BOLOGNA,BOIC808009,I.C. N.1 VIA DE CAROLIS,BOEE80803D,CESANA,VIA GUARDASSONI 1,40133,A944,BOLOGNA,NORMALE,SCUOLA PRIMARIA,370060005,NO,SI,SI,NO,Non richiesto,NO,SI,SI,21,6
NORD EST,EMILIA ROMAGNA,BOLOGNA,BOIC809005,I.C. DI BORGO TOSSIGNANO,BOEE809017,GIUSEPPE MENGONI,CORSO EUROPA 22,40025,D668,FONTANELICE,NORMALE,SCUOLA PRIMARIA,370260205,NO,SI,SI,NO,NO,NO,SI,SI,21,7
NORD EST,EMILIA ROMAGNA,BOLOGNA,BOIC809005,I.C. DI BORGO TOSSIGNANO,BOEE809028,CESARE ZAVOLI,LARGO GRUPPO COMBATTENTI FOLGORE 9,40021,B044,BORGO TOSSIGNANO,NORMALE,SCUOLA PRIMARIA,370070206,NO,SI,SI,NO,NO,NO,NO,NO,21,7
NORD EST,EMILIA ROMAGNA,BOLOGNA,BOIC809005,I.C. DI BORGO TOSSIGNANO,BOEE809039,GIUSEPPE VERDI,VIA IV NOVEMBRE 2,40022,C086,CASTEL DEL RIO,NORMALE,SCUOLA PRIMARIA,370140350,NO,SI,SI,Non richiesto,Non richiesto,Non richiesto,SI,SI,21,7
NORD EST,EMILIA ROMAGNA,BOLOGNA,BOIC809005,I.C. DI BORGO TOSSIGNANO,BOEE80904A,GRAZIA DELEDDA,VIA MARTIRI DELLA RAPPRESAGLIA 5,40020,B892,CASALFIUMANESE,NORMALE,SCUOLA PRIMARIA,370120209,NO,NO,NO,Non richiesto,Non richiesto,Non richiesto,NO,NO,21,7
NORD EST,EMILIA ROMAGNA,BOLOGNA,BOIC809005,I.C. DI BORGO TOSSIGNANO,BOEE80905B,CARLO COLLODI,VIALE ANDREA COSTA 15,40020,B892,CASALFIUMANESE,NORMALE,SCUOLA PRIMARIA,370120208,NO,SI,SI,NO,NO,NO,NO,NO,21,7
NORD EST,EMILIA ROMAGNA,BOLOGNA,BOIC810009,I.C. DI CASTELLO DI SERRAVALLE,BOEE81001B,CASTELLETTO,VIA RODARI 16,40017,M320,VALSAMOGGIA,NORMALE,SCUOLA PRIMARIA,370610011,NO,SI,SI,NO,Non richiesto,SI,NO,NO,21,5
NORD EST,EMILIA ROMAGNA,BOLOGNA,BOIC810009,I.C. DI CASTELLO DI SERRAVALLE,BOEE81002C,E. TOTI,VIA MARCONI 63,40060,M320,VALSAMOGGIA,NORMALE,SCUOLA PRIMARIA,370610060,NO,SI,Non richiesto,NO,SI,NO,SI,SI,21,5
NORD EST,EMILIA ROMAGNA,BOLOGNA,BOIC811005,I.C. SALVO D'ACQUISTO,BOEE811017,TIZIANO TERZANI,VIALE DELLA CHIESA 29,40041,D847,GAGGIO MONTANO,NORMALE,SCUOLA PRIMARIA,370270211,SI,SI,SI,Non richiesto,Non richiesto,Non richiesto,SI,SI,21,4
NORD EST,EMILIA ROMAGNA,BOLOGNA,BOIC811005,I.C. SALVO D'ACQUISTO,BOEE811028,MARTIRI DI RONCHIDOSO,VIA GIORDANI 42,40041,D847,GAGGIO MONTANO,NORMALE,SCUOLA PRIMARIA,370270209,SI,SI,SI,SI,NO,SI,SI,SI,21,4
NORD EST,EMILIA ROMAGNA,BOLOGNA,BOIC811005,I.C. SALVO D'ACQUISTO,BOEE811039,SILLA,VIA KENNEDY 123,40040,D847,GAGGIO MONTANO,NORMALE,SCUOLA PRIMARIA,370270213,SI,NO,SI,SI,Non richiesto,Non richiesto,SI,SI,21,4
NORD EST,EMILIA ROMAGNA,BOLOGNA,BOIC811005,I.C. SALVO D'ACQUISTO,BOEE81104A,CASTEL D'AIANO CAPOLUOGO,VIA CASTELLARO 3,40034,C075,CASTEL D'AIANO,NORMALE,SCUOLA PRIMARIA,370130042,NO,SI,Non richiesto,SI,Non richiesto,NO,SI,SI,21,4
NORD EST,EMILIA ROMAGNA,BOLOGNA,BOIC811005,I.C. SALVO D'ACQUISTO,BOEE81106C,GIOVANNI XXIII,VIA DELLA PIEVE 20,40042,A771,LIZZANO IN BELVEDERE,NORMALE,SCUOLA PRIMARIA,370330214,SI,SI,SI,-,-,-,SI,SI,21,4
NORD EST,EMILIA ROMAGNA,BOLOGNA,BOIC812001,I.C. N.2 BOLOGNA,BOEE812013,DRUSIANI,VIA G. SEGANTINI 31,40133,A944,BOLOGNA,NORMALE,SCUOLA PRIMARIA,370060162,NO,SI,Non richiesto,NO,Non richiesto,NO,SI,SI,21,5
NORD EST,EMILIA ROMAGNA,BOLOGNA,BOIC812001,I.C. N.2 BOLOGNA,BOEE812024,ALBERTAZZI,VIA BERRETTA ROSSA 15,40133,A944,BOLOGNA,NORMALE,SCUOLA PRIMARIA,370060163,NO,SI,SI,NO,Non richiesto,NO,SI,SI,21,5
NORD EST,EMILIA ROMAGNA,BOLOGNA,BOIC812001,I.C. N.2 BOLOGNA,BOEE812035,DE VIGRI,VIA DEL GIACINTO 37,40133,A944,BOLOGNA,NORMALE,SCUOLA PRIMARIA,370060164,NO,NO,SI,NO,Non richiesto,NO,SI,SI,21,5
NORD EST,EMILIA ROMAGNA,BOLOGNA,BOIC81300R,I.C. N.3 LAME,BOEE81301V,BOTTEGO,VIA DELLA BEVERARA 158,40131,A944,BOLOGNA,NORMALE,SCUOLA PRIMARIA,370060115,NO,NO,Non richiesto,SI,Non richiesto,Non richiesto,SI,SI,21,4
NORD EST,EMILIA ROMAGNA,BOLOGNA,BOIC81300R,I.C. N.3 LAME,BOEE813031,SILVANI,VIA SELVA DI PESCAROLA 29,40131,A944,BOLOGNA,NORMALE,SCUOLA PRIMARIA,370060117,NO,SI,SI,SI,Non richiesto,NO,SI,SI,21,4
NORD EST,EMILIA ROMAGNA,BOLOGNA,BOIC81400L,DE AMICIS - ANZOLA EMILIA,BOEE81401P,ANZOLA EMILIA CAPOLUOGO,VIA CHIARINI 5,40011,A324,ANZOLA DELL'EMILIA,NORMALE,SCUOLA PRIMARIA,370010003,SI,SI,SI,SI,Non richiesto,Non richiesto,SI,SI,21,6
NORD EST,EMILIA ROMAGNA,BOLOGNA,BOIC81400L,DE AMICIS - ANZOLA EMILIA,BOEE81402Q,LAVINO DI MEZZO,VIA EMILIA PONENTE 29,40011,A324,ANZOLA DELL'EMILIA,NORMALE,SCUOLA PRIMARIA,370010002,SI,SI,SI,SI,NO,Non richiesto,SI,SI,21,6
NORD EST,EMILIA ROMAGNA,BOLOGNA,BOIC81500C,I.C. N.4 VIA VERNE,BOEE81502G,MARSILI L.F.,VIA SANT'ANNA 4,40128,A944,BOLOGNA,NORMALE,SCUOLA PRIMARIA,370060128,NO,SI,SI,NO,Non richiesto,Non richiesto,SI,SI,21,4
NORD EST,EMILIA ROMAGNA,BOLOGNA,BOIC81500C,I.C. N.4 VIA VERNE,BOEE81503L,VILLA TORCHI,VIA VERNE 21,40128,A944,BOLOGNA,NORMALE,SCUOLA PRIMARIA,370060129,NO,NO,Non richiesto,SI,Non richiesto,Non richiesto,SI,SI,21,4
NORD EST,EMILIA ROMAGNA,BOLOGNA,BOIC816008,I.C. N.5 VIA A.DI VINCENZO,BOEE81601A,FEDERZONI,VIA A. DI VINCENZO 11/2,40129,A944,BOLOGNA,NORMALE,SCUOLA PRIMARIA,370060155,NO,NO,SI,SI,Non richiesto,Non richiesto,SI,SI,21,5
NORD EST,EMILIA ROMAGNA,BOLOGNA,BOIC816008,I.C. N.5 VIA A.DI VINCENZO,BOEE81602B,ADELFO GROSSO,VIA CRISTOFORO DA BOLOGNA 29,40129,A944,BOLOGNA,NORMALE,SCUOLA PRIMARIA,370060156,NO,NO,SI,SI,Non richiesto,Non richiesto,SI,SI,21,5
NORD EST,EMILIA ROMAGNA,BOLOGNA,BOIC816008,I.C. N.5 VIA A.DI VINCENZO,BOEE81603C,FRANCESCO ACRI,VIA FRANCESCO BARBIERI 5,40129,A944,BOLOGNA,NORMALE,SCUOLA PRIMARIA,370060154,NO,NO,SI,SI,Non richiesto,Non richiesto,SI,SI,21,5
NORD EST,EMILIA ROMAGNA,BOLOGNA,BOIC817004,I.C. N.6 VIA FINELLI,BOEE817016,ERCOLANI,VIA MURA PORTA GALLIERA 1/A,40126,A944,BOLOGNA,NORMALE,SCUOLA PRIMARIA,370060141,NO,SI,SI,SI,Non richiesto,Non richiesto,SI,SI,21,6
NORD EST,EMILIA ROMAGNA,BOLOGNA,BOIC817004,I.C. N.6 VIA FINELLI,BOEE81705A,GIORDANI,VIA MUSOLESI 22,40138,A944,BOLOGNA,NORMALE,SCUOLA PRIMARIA,370060133,NO,NO,SI,SI,Non richiesto,Non richiesto,SI,SI,21,6
NORD EST,EMILIA ROMAGNA,BOLOGNA,BOIC81800X,I.C. N.7 VIA SCANDELLARA,BOEE818012,LIVIO TEMPESTA,VIA MARTELLI 37,40138,A944,BOLOGNA,NORMALE,SCUOLA PRIMARIA,370060134,SI,SI,SI,SI,Non richiesto,Non richiesto,SI,SI,21,4
NORD EST,EMILIA ROMAGNA,BOLOGNA,BOIC81800X,I.C. N.7 VIA SCANDELLARA,BOEE818023,VIA SCANDELLARA,VIA SCANDELLARA 54/2,40138,A944,BOLOGNA,NORMALE,SCUOLA PRIMARIA,370060135,NO,NO,SI,Non richiesto,Non richiesto,Non richiesto,SI,SI,21,4
NORD EST,EMILIA ROMAGNA,BOLOGNA,BOIC81900Q,"I.C. ""A.FERRI"" SALA BOLOGNESE",BOEE81901T,PADULLE,PIAZZA MARCONI 3,40010,H678,SALA BOLOGNESE,NORMALE,SCUOLA PRIMARIA,370500861,NO,SI,SI,SI,Non richiesto,Non richiesto,SI,SI,21,5
NORD EST,EMILIA ROMAGNA,BOLOGNA,BOIC81900Q,"I.C. ""A.FERRI"" SALA BOLOGNESE",BOEE81902V,TAVERNELLE,VIA GRAMSCI 301,40010,H678,SALA BOLOGNESE,NORMALE,SCUOLA PRIMARIA,370500281,SI,SI,SI,SI,NO,NO,SI,SI,21,5
NORD EST,EMILIA ROMAGNA,BOLOGNA,BOIC82000X,I.C. DI CALDERARA DI RENO,BOEE820012,GIANNI RODARI,VIA DI VITTORIO 3/3,40012,B399,CALDERARA DI RENO,NORMALE,SCUOLA PRIMARIA,370090178,Non richiesto,SI,SI,SI,Non richiesto,Non richiesto,NO,NO,21,5
NORD EST,EMILIA ROMAGNA,BOLOGNA,BOIC82000X,I.C. DI CALDERARA DI RENO,BOEE820023,SAN VITALE,VIA STELLONI LEVANTE 37,40012,B399,CALDERARA DI RENO,NORMALE,SCUOLA PRIMARIA,370090725,SI,SI,SI,SI,Non richiesto,SI,SI,SI,21,5
NORD EST,EMILIA ROMAGNA,BOLOGNA,BOIC82100Q,I.C. CERETOLO,BOEE82101T,RENATA VIGANO',VIA DELLA LIBERTA' 3/2,40033,B880,CASALECCHIO DI RENO,NORMALE,SCUOLA PRIMARIA,370110018,Non richiesto,SI,SI,NO,SI,Non richiesto,SI,SI,21,4
NORD EST,EMILIA ROMAGNA,BOLOGNA,BOIC82100Q,I.C. CERETOLO,BOEE82102V,ELEMENTARE SILVANA TOVOLI,VIA ALDO MORO 19,40033,B880,CASALECCHIO DI RENO,NORMALE,SCUOLA PRIMARIA,370110001,Non richiesto,SI,SI,SI,Non richiesto,Non richiesto,SI,SI,21,4
NORD EST,EMILIA ROMAGNA,BOLOGNA,BOIC82200G,I.C. DI CASTEL MAGGIORE,BOEE82201N,LEVI,VIA I MAGGIO,40013,C204,CASTEL MAGGIORE,NORMALE,SCUOLA PRIMARIA,370190188,NO,Non richiesto,SI,NO,NO,Non richiesto,SI,SI,21,5
NORD EST,EMILIA ROMAGNA,BOLOGNA,BOIC82200G,I.C. DI CASTEL MAGGIORE,BOEE82202P,FRANCHINI,VIA VERNE 1,40013,C204,CASTEL MAGGIORE,NORMALE,SCUOLA PRIMARIA,370190186,SI,Non richiesto,SI,Non richiesto,Non richiesto,Non richiesto,SI,SI,21,5
NORD EST,EMILIA ROMAGNA,BOLOGNA,BOIC824007,IC CASTIGLIONE-CAM.-S.BENEDETTO,BOEE824019,F.BARACCA CASTIGLIONE PEPOLI EE,VIA GIROTTI 1,40035,C296,CASTIGLIONE DEI PEPOLI,NORMALE,SCUOLA PRIMARIA,370220354,SI,SI,SI,SI,SI,Non richiesto,NO,NO,21,5
NORD EST,EMILIA ROMAGNA,BOLOGNA,BOIC824007,IC CASTIGLIONE-CAM.-S.BENEDETTO,BOEE82402A,BARAGAZZA EE,VIA PIANA 1,40031,C296,CASTIGLIONE DEI PEPOLI,NORMALE,SCUOLA PRIMARIA,370220034,NO,Non richiesto,NO,Non richiesto,Non richiesto,Non richiesto,NO,NO,21,5
NORD EST,EMILIA ROMAGNA,BOLOGNA,BOIC824007,IC CASTIGLIONE-CAM.-S.BENEDETTO,BOEE82403B,LAGARO EE,PIAZZA DELLA CHIESA 3,40030,C296,CASTIGLIONE DEI PEPOLI,NORMALE,SCUOLA PRIMARIA,370220735,SI,SI,Non richiesto,Non richiesto,Non richiesto,SI,SI,SI,21,5
NORD EST,EMILIA ROMAGNA,BOLOGNA,BOIC824007,IC CASTIGLIONE-CAM.-S.BENEDETTO,BOEE82404C,V. FABI-CAMUGNANO EE,VIA CALABRIA 57/A,40032,B572,CAMUGNANO,NORMALE,SCUOLA PRIMARIA,370100725,SI,SI,NO,SI,Non richiesto,Non richiesto,SI,SI,21,5
NORD EST,EMILIA ROMAGNA,BOLOGNA,BOIC824007,IC CASTIGLIONE-CAM.-S.BENEDETTO,BOEE82405D,PRIMARIA S.BENEDETTO V.SAMBRO,VIA MARCONI N.48/B,40048,G566,SAN BENEDETTO VAL DI SAMBRO,NORMALE,SCUOLA PRIMARIA,370510947,SI,NO,SI,SI,Non richiesto,Non richiesto,NO,NO,21,5
NORD EST,EMILIA ROMAGNA,BOLOGNA,BOIC824007,IC CASTIGLIONE-CAM.-S.BENEDETTO,BOEE82406E,PRIMARIA PIAN DEL VOGLIO,VIA BEL POGGIO 13,40048,G566,SAN BENEDETTO VAL DI SAMBRO,NORMALE,SCUOLA PRIMARIA,370510302,SI,SI,SI,NO,NO,Non richiesto,NO,NO,21,5
NORD EST,EMILIA ROMAGNA,BOLOGNA,BOIC825003,I.C. DI MALALBERGO,BOEE825015,ALTEDO,VIA FRATELLI CERVI 12,40051,E844,MALALBERGO,NORMALE,SCUOLA PRIMARIA,370350236,SI,SI,Non richiesto,SI,SI,SI,SI,SI,21,5
NORD EST,EMILIA ROMAGNA,BOLOGNA,BOIC825003,I.C. DI MALALBERGO,BOEE825026,BRUNO MUNARI,VIA ROMA 2/4,40052,A665,BARICELLA,NORMALE,SCUOLA PRIMARIA,370030237,SI,SI,SI,SI,Non richiesto,Non richiesto,SI,SI,21,5
NORD EST,EMILIA ROMAGNA,BOLOGNA,BOIC82600V,I.C. GRANAROLO DELL'EMILIA,BOEE826011,ANNA FRANK,VIA ROMA 30/2,40057,E136,GRANAROLO DELL'EMILIA,NORMALE,SCUOLA PRIMARIA,370300930,SI,SI,SI,SI,Non richiesto,Non richiesto,SI,SI,21,5
NORD EST,EMILIA ROMAGNA,BOLOGNA,BOIC82700P,I.C. DI MINERBIO,BOEE82701R,RITA BONFIGLIOLI - MINERBIO,VIA ROMA 18,40061,F219,MINERBIO,NORMALE,SCUOLA PRIMARIA,370380242,SI,SI,SI,SI,NO,NO,SI,SI,21,6
NORD EST,EMILIA ROMAGNA,BOLOGNA,BOIC82700P,I.C. DI MINERBIO,BOEE82702T,ACHILLE CASANOVA CA' DE' FABBRI,VIA RONCHI INFERIORE 25,40050,F219,MINERBIO,NORMALE,SCUOLA PRIMARIA,370380003,SI,SI,SI,SI,NO,NO,SI,SI,21,6
NORD EST,EMILIA ROMAGNA,BOLOGNA,BOIC82800E,IC DI OZZANO DELL'EMILIA,BOEE82801L,BRUNO CIARI CAPOLUOGO,VIALE 2 GIUGNO 51,40064,G205,OZZANO DELL'EMILIA,NORMALE,SCUOLA PRIMARIA,370460264,Non richiesto,SI,NO,SI,Non richiesto,Non richiesto,SI,SI,21,5
NORD EST,EMILIA ROMAGNA,BOLOGNA,BOIC82800E,IC DI OZZANO DELL'EMILIA,BOEE82802N,CESARE GNUDI,VIA DEL PARTIGIANO 31,40050,G205,OZZANO DELL'EMILIA,NORMALE,SCUOLA PRIMARIA,370460077,SI,SI,SI,SI,Non richiesto,Non richiesto,SI,SI,21,5
NORD EST,EMILIA ROMAGNA,BOLOGNA,BOIC82900A,I.C. DI RASTIGNANO,BOEE82901C,RITA LEVI MONTALCINI,VIA MARZABOTTO 35,40067,G570,PIANORO,NORMALE,SCUOLA PRIMARIA,370470373,SI,SI,SI,SI,Non richiesto,NO,SI,SI,21,4
NORD EST,EMILIA ROMAGNA,BOLOGNA,BOIC83000E,I.C. DI PIANORO,BOEE83001L,DIANA SABBI,VIA LIBERTA' 17/2,40065,G570,PIANORO,NORMALE,SCUOLA PRIMARIA,370470267,SI,SI,SI,SI,NO,NO,SI,SI,21,6
NORD EST,EMILIA ROMAGNA,BOLOGNA,BOIC83000E,I.C. DI PIANORO,BOEE83002N,PIANORO VECCHIO,VIA NAZIONALE 196,40060,G570,PIANORO,NORMALE,SCUOLA PRIMARIA,370470270,SI,SI,SI,SI,NO,Non richiesto,SI,SI,21,6
