Codice_scuola, Perc_certificato_agibilita_abitabilita, Perc_certificato_collaudo_statico, Perc_certificato_omologazione_centrale_termi, Perc_certificato_prevenzione_incendi_cpi, Perc_nullaosta_provvisorio_prevenzione_incendi_nop, Perc_certificato_collaudo_impianto_spegnimento, Perc_documento_valutazione_rischio, Perc_piano_emergenza, Perc_Media
BSIC84100G, 100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,0.0 ,100.0 ,100.0 ,87.5
COEE80704G, 0.0 ,0.0 ,0.0 ,100.0 ,100.0 ,0.0 ,100.0 ,100.0 ,50.0
TSEE81202B, 0.0 ,0.0 ,0.0 ,100.0 ,100.0 ,0.0 ,100.0 ,100.0 ,50.0
MIMM86401B, 100.0 ,100.0 ,0.0 ,0.0 ,100.0 ,0.0 ,100.0 ,100.0 ,62.5
LTEE842011, 0.0 ,100.0 ,0.0 ,0.0 ,0.0 ,0.0 ,100.0 ,100.0 ,37.5
GEEE850062, 0.0 ,100.0 ,0.0 ,100.0 ,0.0 ,0.0 ,0.0 ,0.0 ,25.0
SRIC828009, 0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,100.0 ,100.0 ,25.0
RNMM80801D, 100.0 ,100.0 ,100.0 ,100.0 ,0.0 ,0.0 ,0.0 ,0.0 ,50.0
BGIS034004, 100.0 ,100.0 ,100.0 ,0.0 ,0.0 ,100.0 ,100.0 ,100.0 ,75.0
SATD064516, 0.0 ,0.0 ,100.0 ,0.0 ,0.0 ,0.0 ,100.0 ,100.0 ,37.5
ARIC83500X, 100.0 ,0.0 ,0.0 ,0.0 ,100.0 ,0.0 ,100.0 ,100.0 ,50.0
MEEE89701C, 0.0 ,100.0 ,0.0 ,0.0 ,0.0 ,0.0 ,100.0 ,100.0 ,37.5
RMPC21000P, 0.0 ,100.0 ,100.0 ,0.0 ,0.0 ,0.0 ,100.0 ,100.0 ,50.0
PGEE042014, 100.0 ,100.0 ,0.0 ,0.0 ,100.0 ,0.0 ,100.0 ,100.0 ,62.5
CAEE824017, 100.0 ,100.0 ,100.0 ,0.0 ,0.0 ,0.0 ,100.0 ,100.0 ,62.5
AREE83302B, 100.0 ,100.0 ,100.0 ,100.0 ,0.0 ,0.0 ,100.0 ,100.0 ,75.0
ATTA00401V, 100.0 ,100.0 ,50.0 ,100.0 ,0.0 ,50.0 ,100.0 ,100.0 ,75.0
ANEE80502B, 100.0 ,100.0 ,0.0 ,0.0 ,0.0 ,0.0 ,100.0 ,100.0 ,50.0
VTMM821014, 0.0 ,50.0 ,100.0 ,0.0 ,0.0 ,0.0 ,100.0 ,100.0 ,43.75
PIEE840025, 0.0 ,0.0 ,0.0 ,100.0 ,0.0 ,0.0 ,100.0 ,100.0 ,37.5
CEEE04401X, 0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0
VVEE80312P, 0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,100.0 ,100.0 ,25.0
TVEE87204V, 0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,100.0 ,100.0 ,25.0
PVEE83201P, 0.0 ,0.0 ,100.0 ,0.0 ,100.0 ,0.0 ,100.0 ,100.0 ,50.0
MIMM8AV013, 50.0 ,50.0 ,25.0 ,75.0 ,0.0 ,0.0 ,100.0 ,100.0 ,50.0
CEEE8AL039, 100.0 ,0.0 ,0.0 ,0.0 ,0.0 ,100.0 ,100.0 ,100.0 ,50.0
TOMM8AN016, 0.0 ,100.0 ,0.0 ,100.0 ,0.0 ,0.0 ,100.0 ,100.0 ,50.0
TVEE871021, 0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,100.0 ,100.0 ,25.0
BAMM84801T, 33.333333333333336 ,33.333333333333336 ,0.0 ,33.333333333333336 ,0.0 ,0.0 ,0.0 ,0.0 ,12.5
PGEE04212L, 50.0 ,50.0 ,50.0 ,50.0 ,50.0 ,50.0 ,0.0 ,50.0 ,43.75
IMPS00701E, 0.0 ,0.0 ,100.0 ,0.0 ,100.0 ,0.0 ,100.0 ,100.0 ,50.0
PAEE871012, 100.0 ,100.0 ,100.0 ,0.0 ,0.0 ,0.0 ,100.0 ,100.0 ,62.5
RMMM8AZ01V, 0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,100.0 ,100.0 ,25.0
NAEE063006, 0.0 ,0.0 ,0.0 ,100.0 ,0.0 ,0.0 ,100.0 ,100.0 ,37.5
RMEE8C202E, 100.0 ,100.0 ,0.0 ,0.0 ,100.0 ,0.0 ,100.0 ,0.0 ,50.0
CLIC827008, 0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,100.0 ,100.0 ,25.0
LUEE829034, 0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,100.0 ,100.0 ,25.0
BSIC878006, 0.0 ,100.0 ,100.0 ,0.0 ,0.0 ,0.0 ,100.0 ,100.0 ,50.0
RERF070004, 50.0 ,100.0 ,0.0 ,50.0 ,0.0 ,100.0 ,100.0 ,100.0 ,62.5
VVIC829008, 0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,100.0 ,100.0 ,25.0
AVTD01401E, 0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,100.0 ,100.0 ,25.0
PAEE8AA02B, 0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,100.0 ,12.5
BARI040001, 50.0 ,50.0 ,0.0 ,50.0 ,0.0 ,0.0 ,100.0 ,100.0 ,43.75
AVMM86201E, 0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,100.0 ,100.0 ,100.0 ,37.5
SAIC852004, 0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0
