Areageografica, 1tot, 1perc, 2tot, 2perc, 3tot, 3perc, 4tot, 4perc, 5tot, 5perc, 6tot, 6perc, 7tot, 7perc
NORD OVEST, 1, 0.013053126223730583, 5, 0.032632815559326456, 275, 1.1965365705086368, 1993, 6.503720140973763, 2801, 7.3123613105338725, 2180, 4.742635861288779, 406, 0.7570813209763738
NORD EST, 0, 0.0, 20, 0.1865671641791045, 243, 1.5111940298507462, 1473, 6.870335820895522, 1845, 6.884328358208955, 1525, 4.741915422885572, 254, 0.6769722814498934
CENTRO, 1, 0.016297262059973925, 19, 0.15482398956975227, 248, 1.3472403302911777, 1429, 5.822196870925684, 2142, 6.981747066492829, 1851, 5.027705345501956, 446, 1.038368411249767
ISOLE, 7, 0.15765765765765766, 28, 0.3153153153153153, 386, 2.8978978978978978, 1257, 7.077702702702703, 1494, 6.72972972972973, 1045, 3.9226726726726726, 223, 0.7175032175032175
SUD, 10, 0.11212019284673169, 49, 0.27469447247449263, 597, 2.231191837649961, 1973, 5.530328512165041, 3200, 7.175692342190828, 2403, 4.490413723511605, 687, 1.1003796069386382
