Valutazione, Percentuale, Numero
1,0.05843277155861729,19
2,0.3721244925575101,121
3,5.378890392422192,1749
4,24.987698363882398,8125
5,35.311846475581255,11482
6,27.690982900725796,9004
7,6.200024603272235,2016
