Areageografica, 1tot, 1perc, 2tot, 2perc, 3tot, 3perc, 4tot, 4perc, 5tot, 5perc, 6tot, 6perc, 7tot, 7perc
SUD, 10, 0.11212019284673169, 49, 0.5493889449489853, 597, 6.693575512949883, 1973, 22.121314048660164, 3200, 35.87846171095414, 2403, 26.942482341069628, 687, 7.702657248570468
CENTRO, 1, 0.016297262059973925, 19, 0.30964797913950454, 248, 4.041720990873533, 1429, 23.288787483702738, 2142, 34.90873533246415, 1851, 30.166232073011734, 446, 7.26857887874837
NORD EST, 0, 0.0, 20, 0.373134328358209, 243, 4.5335820895522385, 1473, 27.48134328358209, 1845, 34.42164179104478, 1525, 28.45149253731343, 254, 4.7388059701492535
NORD OVEST, 1, 0.013053126223730583, 5, 0.06526563111865291, 275, 3.5896097115259105, 1993, 26.01488056389505, 2801, 36.56180655266937, 2180, 28.455815167732673, 406, 5.299569246834617
ISOLE, 7, 0.15765765765765766, 28, 0.6306306306306306, 386, 8.693693693693694, 1257, 28.31081081081081, 1494, 33.648648648648646, 1045, 23.536036036036037, 223, 5.0225225225225225
