Provincia,Numdi1,NumTot
BL,0,17
MS,0,26
KR,0,28
TE,0,30
PG,1,70
TO,0,37
TV,0,72
PA,0,132
RA,0,31
SI,0,24
TR,0,23
IS,0,10
AL,0,5
NU,0,29
GO,0,1
CN,1,9
SV,0,26
AN,0,55
BR,0,42
BA,0,139
BS,0,95
EN,0,14
BT,0,40
PT,0,23
MT,0,23
RC,0,68
AQ,0,36
NA,2,352
FC,0,43
PI,0,27
BO,0,80
PN,0,10
VI,0,67
SS,0,58
PD,0,73
CR,0,29
LE,0,92
LO,0,21
CE,0,100
OR,0,19
CH,0,48
TS,0,8
FE,0,29
ME,0,70
SA,0,131
PU,0,41
AG,0,54
TA,0,67
LU,0,42
BG,0,101
RI,0,23
CS,0,104
LC,0,25
CZ,0,45
CT,0,131
GR,0,31
IM,0,15
PR,0,35
SO,0,22
VE,0,67
SR,0,51
SU,1,48
PZ,0,56
NO,0,6
AV,0,50
FG,0,83
MB,0,63
PE,0,30
SP,0,12
LT,0,59
MN,0,36
PV,0,33
CA,0,52
CO,0,46
BI,0,2
VT,0,31
MO,0,64
RM,0,346
FR,0,55
PO,0,19
LI,0,37
CB,0,29
FI,0,83
RO,0,19
MC,0,32
AP,0,21
VC,0,1
RE,0,43
AR,0,28
AT,0,3
TP,0,56
VB,0,3
CL,0,31
RN,0,26
RG,0,38
VA,0,73
FM,0,10
GE,0,53
VR,0,63
MI,0,243
BN,0,38
PC,0,25
VV,0,17
UD,0,12
