Provincia,Valutazione,NumValutazione,NumTotale,PercValutazione
NO,6,2,6,33.333333333333336
NO,7,0,6,0.0
AV,1,0,50,0.0
AV,2,0,50,0.0
AV,3,4,50,8.0
AV,4,12,50,24.0
AV,5,12,50,24.0
AV,6,20,50,40.0
AV,7,2,50,4.0
FG,1,0,83,0.0
FG,2,0,83,0.0
FG,3,6,83,7.228915662650603
FG,4,21,83,25.301204819277107
FG,5,28,83,33.734939759036145
FG,6,24,83,28.91566265060241
FG,7,4,83,4.819277108433735
MB,1,0,63,0.0
MB,2,0,63,0.0
MB,3,2,63,3.1746031746031744
MB,4,14,63,22.22222222222222
MB,5,12,63,19.047619047619047
MB,6,28,63,44.44444444444444
MB,7,7,63,11.11111111111111
PE,1,0,30,0.0
PE,2,0,30,0.0
PE,3,0,30,0.0
PE,4,10,30,33.333333333333336
PE,5,12,30,40.0
PE,6,7,30,23.333333333333332
PE,7,1,30,3.3333333333333335
SP,1,0,12,0.0
SP,2,0,12,0.0
SP,3,0,12,0.0
SP,4,6,12,50.0
SP,5,2,12,16.666666666666668
SP,6,4,12,33.333333333333336
SP,7,0,12,0.0
LT,1,0,59,0.0
LT,2,1,59,1.694915254237288
LT,3,3,59,5.084745762711864
LT,4,11,59,18.64406779661017
LT,5,17,59,28.8135593220339
LT,6,22,59,37.28813559322034
LT,7,5,59,8.474576271186441
MN,1,0,36,0.0
MN,2,0,36,0.0
MN,3,1,36,2.7777777777777777
MN,4,8,36,22.22222222222222
MN,5,12,36,33.333333333333336
MN,6,12,36,33.333333333333336
MN,7,3,36,8.333333333333334
PV,1,0,33,0.0
PV,2,0,33,0.0
PV,3,5,33,15.151515151515152
PV,4,12,33,36.36363636363637
PV,5,10,33,30.303030303030305
PV,6,5,33,15.151515151515152
PV,7,1,33,3.0303030303030303
CA,1,0,52,0.0
CA,2,0,52,0.0
CA,3,5,52,9.615384615384615
CA,4,24,52,46.15384615384615
CA,5,11,52,21.153846153846153
CA,6,9,52,17.307692307692307
CA,7,3,52,5.769230769230769
CO,1,0,46,0.0
CO,2,0,46,0.0
CO,3,2,46,4.3478260869565215
CO,4,13,46,28.26086956521739
CO,5,17,46,36.95652173913044
CO,6,11,46,23.91304347826087
CO,7,3,46,6.521739130434782
BI,1,0,2,0.0
BI,2,0,2,0.0
BI,3,1,2,50.0
BI,4,0,2,0.0
BI,5,1,2,50.0
BI,6,0,2,0.0
BI,7,0,2,0.0
VT,1,0,31,0.0
VT,2,0,31,0.0
VT,3,1,31,3.225806451612903
VT,4,7,31,22.580645161290324
VT,5,8,31,25.806451612903224
VT,6,14,31,45.16129032258065
VT,7,1,31,3.225806451612903
MO,1,0,64,0.0
MO,2,0,64,0.0
MO,3,5,64,7.8125
MO,4,19,64,29.6875
MO,5,24,64,37.5
MO,6,14,64,21.875
MO,7,2,64,3.125
RM,1,0,346,0.0
RM,2,1,346,0.28901734104046245
RM,3,15,346,4.335260115606936
RM,4,97,346,28.034682080924856
RM,5,115,346,33.23699421965318
RM,6,92,346,26.589595375722542
RM,7,26,346,7.514450867052023
FR,1,0,55,0.0
FR,2,0,55,0.0
FR,3,2,55,3.6363636363636362
FR,4,7,55,12.727272727272727
FR,5,26,55,47.27272727272727
FR,6,17,55,30.90909090909091
FR,7,3,55,5.454545454545454
PO,1,0,19,0.0
PO,2,0,19,0.0
PO,3,1,19,5.2631578947368425
PO,4,6,19,31.57894736842105
PO,5,8,19,42.10526315789474
PO,6,4,19,21.05263157894737
PO,7,0,19,0.0
LI,1,0,37,0.0
LI,2,0,37,0.0
LI,3,4,37,10.81081081081081
LI,4,9,37,24.324324324324323
LI,5,12,37,32.432432432432435
LI,6,10,37,27.027027027027028
LI,7,2,37,5.405405405405405
CB,1,0,29,0.0
CB,2,0,29,0.0
CB,3,2,29,6.896551724137931
CB,4,6,29,20.689655172413794
CB,5,12,29,41.37931034482759
CB,6,7,29,24.137931034482758
CB,7,2,29,6.896551724137931
FI,1,0,83,0.0
FI,2,0,83,0.0
FI,3,2,83,2.4096385542168677
FI,4,20,83,24.096385542168676
FI,5,26,83,31.325301204819276
FI,6,27,83,32.53012048192771
FI,7,8,83,9.63855421686747
RO,1,0,19,0.0
RO,2,0,19,0.0
RO,3,1,19,5.2631578947368425
RO,4,10,19,52.63157894736842
RO,5,5,19,26.31578947368421
RO,6,2,19,10.526315789473685
RO,7,1,19,5.2631578947368425
MC,1,0,32,0.0
MC,2,1,32,3.125
MC,3,1,32,3.125
MC,4,10,32,31.25
MC,5,5,32,15.625
MC,6,12,32,37.5
MC,7,3,32,9.375
AP,1,0,21,0.0
AP,2,0,21,0.0
AP,3,0,21,0.0
AP,4,2,21,9.523809523809524
AP,5,10,21,47.61904761904762
AP,6,9,21,42.857142857142854
AP,7,0,21,0.0
VC,1,0,1,0.0
VC,2,0,1,0.0
VC,3,0,1,0.0
VC,4,0,1,0.0
VC,5,1,1,100.0
VC,6,0,1,0.0
VC,7,0,1,0.0
RE,1,0,43,0.0
RE,2,0,43,0.0
RE,3,2,43,4.651162790697675
RE,4,12,43,27.906976744186046
RE,5,15,43,34.883720930232556
RE,6,11,43,25.58139534883721
RE,7,3,43,6.976744186046512
AR,1,0,28,0.0
AR,2,0,28,0.0
AR,3,1,28,3.5714285714285716
AR,4,8,28,28.571428571428573
AR,5,5,28,17.857142857142858
AR,6,12,28,42.857142857142854
AR,7,2,28,7.142857142857143
AT,1,0,3,0.0
AT,2,0,3,0.0
AT,3,0,3,0.0
AT,4,2,3,66.66666666666667
AT,5,1,3,33.333333333333336
AT,6,0,3,0.0
AT,7,0,3,0.0
TP,1,0,56,0.0
TP,2,0,56,0.0
TP,3,2,56,3.5714285714285716
TP,4,10,56,17.857142857142858
TP,5,22,56,39.285714285714285
TP,6,18,56,32.142857142857146
TP,7,4,56,7.142857142857143
VB,1,0,3,0.0
VB,2,0,3,0.0
VB,3,0,3,0.0
VB,4,0,3,0.0
VB,5,2,3,66.66666666666667
VB,6,1,3,33.333333333333336
VB,7,0,3,0.0
CL,1,0,31,0.0
CL,2,0,31,0.0
CL,3,4,31,12.903225806451612
CL,4,9,31,29.032258064516128
CL,5,6,31,19.35483870967742
CL,6,10,31,32.25806451612903
CL,7,2,31,6.451612903225806
RN,1,0,26,0.0
RN,2,0,26,0.0
RN,3,0,26,0.0
RN,4,8,26,30.76923076923077
RN,5,8,26,30.76923076923077
RN,6,8,26,30.76923076923077
RN,7,2,26,7.6923076923076925
RG,1,0,38,0.0
RG,2,0,38,0.0
RG,3,3,38,7.894736842105263
RG,4,8,38,21.05263157894737
RG,5,15,38,39.473684210526315
RG,6,11,38,28.94736842105263
RG,7,1,38,2.6315789473684212
VA,1,0,73,0.0
VA,2,0,73,0.0
VA,3,7,73,9.58904109589041
VA,4,16,73,21.91780821917808
VA,5,26,73,35.61643835616438
VA,6,22,73,30.136986301369863
VA,7,2,73,2.73972602739726
FM,1,0,10,0.0
FM,2,0,10,0.0
FM,3,0,10,0.0
FM,4,3,10,30.0
FM,5,3,10,30.0
FM,6,3,10,30.0
FM,7,1,10,10.0
GE,1,0,53,0.0
GE,2,0,53,0.0
GE,3,1,53,1.8867924528301887
GE,4,12,53,22.641509433962263
GE,5,22,53,41.509433962264154
GE,6,15,53,28.30188679245283
GE,7,3,53,5.660377358490566
VR,1,0,63,0.0
VR,2,1,63,1.5873015873015872
VR,3,6,63,9.523809523809524
VR,4,16,63,25.396825396825395
VR,5,19,63,30.158730158730158
VR,6,19,63,30.158730158730158
VR,7,2,63,3.1746031746031744
MI,1,0,243,0.0
MI,2,0,243,0.0
MI,3,4,243,1.646090534979424
MI,4,77,243,31.68724279835391
MI,5,72,243,29.62962962962963
MI,6,72,243,29.62962962962963
MI,7,18,243,7.407407407407407
BN,1,0,38,0.0
BN,2,0,38,0.0
BN,3,2,38,5.2631578947368425
BN,4,3,38,7.894736842105263
BN,5,15,38,39.473684210526315
BN,6,12,38,31.57894736842105
BN,7,6,38,15.789473684210526
PC,1,0,25,0.0
PC,2,1,25,4.0
PC,3,2,25,8.0
PC,4,3,25,12.0
PC,5,10,25,40.0
PC,6,9,25,36.0
PC,7,0,25,0.0
VV,1,0,17,0.0
VV,2,1,17,5.882352941176471
VV,3,1,17,5.882352941176471
VV,4,4,17,23.529411764705884
VV,5,7,17,41.1764705882353
VV,6,4,17,23.529411764705884
VV,7,0,17,0.0
UD,1,0,12,0.0
UD,2,0,12,0.0
UD,3,0,12,0.0
UD,4,3,12,25.0
UD,5,5,12,41.666666666666664
UD,6,3,12,25.0
UD,7,1,12,8.333333333333334
